Pickup Community Area,Trip Count,Trip Rolling AVG 24,Trip Rolling Count 24,Trip Rolling AVG day,Trip Rolling Count day,lag_1h,lag_2h,lag_3h,lag_4h,lag_5h,lag_6h,lag_7h,lag_8h,lag_9h,lag_10h,lag_11h,lag_12h,lag_13h,lag_14h,lag_15h,lag_16h,lag_17h,lag_18h,lag_19h,lag_20h,lag_21h,lag_22h,lag_23h,lag_1d,lag_2d,lag_3d,lag_4d,lag_5d,lag_6d,lag_7d,Year,Month,Day,Hour,Week Of Year,Day Of Week
36,0,1.5,36,1.417,238,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,1,0,0,0,0,1,0,3,1,1,2022,12,14,22,50,4
36,0,1.5,36,1.399,235,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2022,12,14,23,50,4
36,0,1.5,36,1.399,235,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2022,12,15,0,50,5
36,0,1.458,35,1.399,235,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,1,0,0,1,1,1,0,2022,12,15,1,50,5
36,0,1.458,35,1.399,235,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,0,0,1,1,0,0,2022,12,15,2,50,5
36,0,1.458,35,1.399,235,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,0,0,0,0,0,2022,12,15,3,50,5
36,1,1.5,36,1.405,236,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,0,0,0,0,2022,12,15,4,50,5
36,0,1.5,36,1.405,236,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,0,0,0,0,0,0,0,2022,12,15,5,50,5
36,0,1.458,35,1.405,236,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,1,1,0,1,0,0,0,2022,12,15,6,50,5
36,1,1.458,35,1.411,237,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,1,0,0,1,0,0,0,2022,12,15,7,50,5
36,4,1.583,38,1.423,239,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,3,1,0,1,4,2,2022,12,15,8,50,5
36,1,1.458,35,1.387,233,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,4,1,3,3,0,4,7,2022,12,15,9,50,5
36,4,1.458,35,1.381,232,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,4,6,0,1,2,2,5,2022,12,15,10,50,5
36,4,1.542,37,1.375,231,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,2,3,2,2,3,5,5,2022,12,15,11,50,5
36,5,1.583,38,1.387,233,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,4,7,6,0,0,6,3,2022,12,15,12,50,5
36,1,1.458,35,1.357,228,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,4,5,8,1,2,3,6,2022,12,15,13,50,5
36,3,1.375,33,1.351,227,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,5,0,1,4,3,5,4,2022,12,15,14,50,5
36,0,1.333,32,1.339,225,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,2,3,0,3,0,2,2022,12,15,15,50,5
36,2,1.375,33,1.345,226,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,5,2,2,5,1,1,2022,12,15,16,50,5
36,1,1.375,33,1.339,225,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,1,1,1,1,1,1,2,2022,12,15,17,50,5
36,1,1.292,31,1.345,226,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,3,2,1,0,3,1,0,2022,12,15,18,50,5
36,0,1.167,28,1.339,225,1,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,3,1,1,1,1,0,1,2022,12,15,19,50,5
36,0,1.167,28,1.339,225,0,1,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,2022,12,15,20,50,5
36,0,1.167,28,1.339,225,0,0,1,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,0,2022,12,15,21,50,5
36,1,1.208,29,1.339,225,0,0,0,1,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,2022,12,15,22,50,5
36,1,1.25,30,1.345,226,1,0,0,0,1,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2022,12,15,23,50,5
36,0,1.25,30,1.345,226,1,1,0,0,0,1,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,12,16,0,50,6
36,0,1.25,30,1.339,225,0,1,1,0,0,0,1,1,2,0,3,1,5,4,4,1,4,1,0,0,1,0,0,0,1,0,0,1,1,1,2022,12,16,1,50,6
