Pickup Community Area,Trip Count,Trip Rolling AVG 24,Trip Rolling Count 24,Trip Rolling AVG day,Trip Rolling Count day,lag_1h,lag_2h,lag_3h,lag_4h,lag_5h,lag_6h,lag_7h,lag_8h,lag_9h,lag_10h,lag_11h,lag_12h,lag_13h,lag_14h,lag_15h,lag_16h,lag_17h,lag_18h,lag_19h,lag_20h,lag_21h,lag_22h,lag_23h,lag_1d,lag_2d,lag_3d,lag_4d,lag_5d,lag_6d,lag_7d,Year,Month,Day,Hour,Week Of Year,Day Of Week
15,2,1.0,24,1.101,185,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,0,1,2,1,1,0,0,0,0,0,2,0,2022,11,28,8,48,2
15,1,1.0,24,1.101,185,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,0,1,2,1,1,1,1,0,0,2,1,2022,11,28,9,48,2
15,4,1.125,27,1.119,188,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,0,1,2,1,2,1,2,0,1,1,2022,11,28,10,48,2
15,10,1.458,35,1.173,197,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,0,1,2,2,1,1,2,3,1,2022,11,28,11,48,2
15,2,1.5,36,1.173,197,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,0,1,1,4,3,4,2,2,2022,11,28,12,48,2
15,3,1.625,39,1.161,195,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,0,0,0,3,3,4,5,2022,11,28,13,48,2
15,3,1.667,40,1.155,194,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,1,3,1,0,4,4,2022,11,28,14,48,2
15,5,1.875,45,1.179,198,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,2,3,2,2,3,1,2022,11,28,15,48,2
15,1,1.833,44,1.179,198,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,2,0,4,0,2,1,1,2022,11,28,16,48,2
15,1,1.875,45,1.155,194,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,0,1,4,1,0,0,5,2022,11,28,17,48,2
15,1,1.917,46,1.155,194,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,4,1,1,0,2,1,2022,11,28,18,48,2
15,0,1.917,46,1.155,194,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,1,1,2,1,0,0,2022,11,28,19,48,2
15,4,2.042,49,1.173,197,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,2,0,0,0,1,2022,11,28,20,48,2
15,0,2.0,48,1.167,196,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,1,1,0,0,1,0,1,2022,11,28,21,48,2
15,0,1.958,47,1.167,196,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,0,0,2,1,0,0,2022,11,28,22,48,2
15,0,1.875,45,1.167,196,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,2,1,0,0,1,3,0,2022,11,28,23,48,2
15,0,1.875,45,1.161,195,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,0,0,0,1,0,1,2022,11,29,0,48,3
15,0,1.875,45,1.161,195,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,1,1,1,0,0,2022,11,29,1,48,3
15,0,1.875,45,1.161,195,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,1,0,0,0,1,0,2022,11,29,2,48,3
15,1,1.833,44,1.167,196,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,0,0,0,0,0,0,2022,11,29,3,48,3
15,1,1.792,43,1.161,195,1,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,2,2,1,0,0,1,2,2022,11,29,4,48,3
15,1,1.75,42,1.155,194,1,1,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,0,1,1,1,1,2,2022,11,29,5,48,3
15,1,1.792,43,1.155,194,1,1,1,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,1,0,1,2,1,2022,11,29,6,48,3
15,2,1.792,43,1.155,194,1,1,1,1,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,2,0,2,0,1,2,2,2022,11,29,7,48,3
15,1,1.75,42,1.149,193,2,1,1,1,1,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,0,0,0,0,0,2,2022,11,29,8,48,3
15,3,1.833,44,1.155,194,1,2,1,1,1,1,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,1,1,1,0,0,2,2022,11,29,9,48,3
15,1,1.708,41,1.155,194,3,1,2,1,1,1,1,0,0,0,0,0,0,4,0,1,1,1,5,3,3,2,10,4,1,2,1,2,0,1,2022,11,29,10,48,3
