Pickup Community Area,Trip Count,Trip Rolling AVG 24,Trip Rolling Count 24,Trip Rolling AVG day,Trip Rolling Count day,lag_1h,lag_2h,lag_3h,lag_4h,lag_5h,lag_6h,lag_7h,lag_8h,lag_9h,lag_10h,lag_11h,lag_12h,lag_13h,lag_14h,lag_15h,lag_16h,lag_17h,lag_18h,lag_19h,lag_20h,lag_21h,lag_22h,lag_23h,lag_1d,lag_2d,lag_3d,lag_4d,lag_5d,lag_6d,lag_7d,Year,Month,Day,Hour,Week Of Year,Day Of Week
60,0,0.333,8,0.542,91,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,2023,2,20,7,8,2
60,2,0.417,10,0.554,93,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,1,0,0,0,3,0,0,1,0,2023,2,20,8,8,2
60,1,0.458,11,0.548,92,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,1,0,0,0,2,1,0,2,2023,2,20,9,8,2
60,1,0.458,11,0.554,93,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,1,1,0,2,1,1,0,2023,2,20,10,8,2
60,3,0.542,13,0.565,95,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,2,2,1,1,2,1,2023,2,20,11,8,2
60,1,0.583,14,0.56,94,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,3,0,1,0,2,2023,2,20,12,8,2
60,1,0.625,15,0.548,92,1,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,2,2,0,0,3,2023,2,20,13,8,2
60,1,0.583,14,0.554,93,1,1,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,1,2,3,4,1,0,2023,2,20,14,8,2
60,1,0.625,15,0.554,93,1,1,1,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,2,1,2023,2,20,15,8,2
60,0,0.542,13,0.554,93,1,1,1,1,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,2,2,0,1,0,2023,2,20,16,8,2
60,1,0.583,14,0.56,94,0,1,1,1,1,3,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2023,2,20,17,8,2
