Pickup Community Area,Trip Count,Trip Rolling AVG 24,Trip Rolling Count 24,Trip Rolling AVG day,Trip Rolling Count day,lag_1h,lag_2h,lag_3h,lag_4h,lag_5h,lag_6h,lag_7h,lag_8h,lag_9h,lag_10h,lag_11h,lag_12h,lag_13h,lag_14h,lag_15h,lag_16h,lag_17h,lag_18h,lag_19h,lag_20h,lag_21h,lag_22h,lag_23h,lag_1d,lag_2d,lag_3d,lag_4d,lag_5d,lag_6d,lag_7d,Year,Month,Day,Hour,Week Of Year,Day Of Week
28,56,93.542,2245,70.167,11788,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,5,2,4,3,6,19,43,36,22,23,57,40,59,2023,3,2,22,9,5
28,34,94.167,2260,70.202,11794,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,5,2,4,3,6,19,16,19,23,83,34,28,2023,3,2,23,9,5
28,15,94.542,2269,70.232,11799,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,5,2,4,3,6,6,4,7,68,41,10,2023,3,3,0,9,6
28,8,94.75,2274,70.214,11796,15,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,5,2,4,3,0,2,6,42,36,11,2023,3,3,1,9,6
28,4,94.75,2274,70.208,11795,8,15,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,5,2,4,3,5,2,21,16,5,2023,3,3,2,9,6
28,2,94.75,2274,70.202,11794,4,8,15,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,5,2,1,1,1,16,6,3,2023,3,3,3,9,6
28,1,94.583,2270,70.196,11793,2,4,8,15,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,5,3,1,5,6,5,2,2023,3,3,4,9,6
28,13,94.417,2266,70.196,11793,1,2,4,8,15,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,17,12,12,10,10,4,13,2023,3,3,5,9,6
28,26,93.542,2245,70.155,11786,13,1,2,4,8,15,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,47,43,42,47,11,6,33,2023,3,3,6,9,6
28,90,92.0,2208,70.095,11776,26,13,1,2,4,8,15,34,56,64,53,91,153,181,143,122,149,124,124,114,143,217,281,127,142,129,168,10,20,100,2023,3,3,7,9,6
