Pickup Community Area,Trip Count,Trip Rolling AVG 24,Trip Rolling Count 24,Trip Rolling AVG day,Trip Rolling Count day,lag_1h,lag_2h,lag_3h,lag_4h,lag_5h,lag_6h,lag_7h,lag_8h,lag_9h,lag_10h,lag_11h,lag_12h,lag_13h,lag_14h,lag_15h,lag_16h,lag_17h,lag_18h,lag_19h,lag_20h,lag_21h,lag_22h,lag_23h,lag_1d,lag_2d,lag_3d,lag_4d,lag_5d,lag_6d,lag_7d,Year,Month,Day,Hour,Week Of Year,Day Of Week
59,0,0.458,11,0.958,161,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,1,0,2,2,0,0,0,0,2022,1,16,12,2,1
59,0,0.417,10,0.958,161,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,1,3,0,1,2,1,0,2022,1,16,13,2,1
59,2,0.375,9,0.964,162,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,3,3,1,3,2,1,1,2022,1,16,14,2,1
59,2,0.417,10,0.976,164,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,2,0,1,0,2022,1,16,15,2,1
59,0,0.375,9,0.97,163,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,2022,1,16,16,2,1
59,0,0.333,8,0.964,162,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,2022,1,16,17,2,1
59,0,0.292,7,0.964,162,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,2022,1,16,18,2,1
59,0,0.292,7,0.964,162,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022,1,16,19,2,1
59,0,0.292,7,0.964,162,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2022,1,16,20,2,1
59,0,0.292,7,0.964,162,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2022,1,16,21,2,1
59,1,0.333,8,0.97,163,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2022,1,16,22,2,1
59,0,0.292,7,0.97,163,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2022,1,16,23,2,1
59,0,0.292,7,0.97,163,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2022,1,17,0,3,2
59,0,0.292,7,0.97,163,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2022,1,17,1,3,2
59,0,0.292,7,0.97,163,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2022,1,17,2,3,2
59,0,0.292,7,0.97,163,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2022,1,17,3,3,2
59,0,0.292,7,0.97,163,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2022,1,17,4,3,2
59,1,0.292,7,0.976,164,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2022,1,17,5,3,2
59,0,0.292,7,0.976,164,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2022,1,17,6,3,2
59,0,0.292,7,0.976,164,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2022,1,17,7,3,2
59,1,0.292,7,0.946,159,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,2,2,5,5,6,2022,1,17,8,3,2
59,0,0.292,7,0.875,147,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,9,11,6,12,2022,1,17,9,3,2
59,0,0.292,7,0.833,140,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,3,8,2,9,7,2022,1,17,10,3,2
59,2,0.375,9,0.798,134,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,2,3,2,1,8,2022,1,17,11,3,2
59,0,0.375,9,0.798,134,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,0,2022,1,17,12,3,2
59,0,0.375,9,0.792,133,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,3,0,1,2,1,2022,1,17,13,3,2
59,0,0.292,7,0.786,132,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,3,3,1,3,2,1,2022,1,17,14,3,2
59,0,0.208,5,0.78,131,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,2,0,1,2022,1,17,15,3,2
59,0,0.208,5,0.774,130,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2022,1,17,16,3,2
59,2,0.292,7,0.786,132,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2022,1,17,17,3,2
59,0,0.292,7,0.78,131,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,2022,1,17,18,3,2
